N.orig	merkki.orig	N.korjattu	merkki.korjattu
283		289	
6	KS. HUOM.	289	
4	AC	4	AC
28	ACADIAN	28	ACADIAN
12	Acura	55	ACURA
43	ACURA	55	ACURA
4	Adler	40	ADLER
36	ADLER	40	ADLER
6	ADLER TRUMPF	6	ADLER TRUMPF
6229	Adria	6947	ADRIA
17	ADRIA	6947	ADRIA
673	Adria Mobil	6947	ADRIA
28	ADRIA MOBIL	6947	ADRIA
6	ADRIA-FIAT	6	ADRIA-FIAT
32885	Alfa Romeo	32885	ALFA ROMEO
6	Allard	18	ALLARD
12	ALLARD	18	ALLARD
20	Alpina	140	ALPINA
120	ALPINA	140	ALPINA
6	Alpine	6	ALPINE
3	ALPINE RENAULT	3	ALPINE RENAULT
12	Alvis	18	ALVIS
6	ALVIS	18	ALVIS
77	AMC	77	AMC
4	AMC JAVELIN	4	AMC JAVELIN
6	Ameise	6	AMEISE
147	American	147	AMERICAN
4	American La France	4	AMERICAN LA FRANCE
6	AM General	6	AM GENERAL
6	AMPHICAR	6	AMPHICAR
4	Apollo	4	APOLLO
4	Armstrong	10	ARMSTRONG
6	ARMSTRONG	10	ARMSTRONG
12	ARMSTRONG SIDD	30	ARMSTRONG-SIDDELEY
6	ARMSTRONG SIDDE	30	ARMSTRONG-SIDDELEY
6	Armstrong-Siddeley	30	ARMSTRONG-SIDDELEY
6	Armstrong Siddeley	30	ARMSTRONG-SIDDELEY
1	ASTON-MARTIN	137	ASTON-MARTIN
90	Aston Martin	137	ASTON-MARTIN
46	ASTON MARTIN	137	ASTON-MARTIN
6	Auburn	37	AUBURN
31	AUBURN	37	AUBURN
671139	Audi	671139	AUDI
6	Audi-Porsche	14	AUDI-PORSCHE
4	AUDI-PORSCHE	14	AUDI-PORSCHE
4	AUDI PORSCHE	14	AUDI-PORSCHE
6	AUDI TT	6	AUDI TT
1541	Austin	1541	AUSTIN
8	Austin-Cooper	83	AUSTIN-COOPER
18	AUSTIN-COOPER	83	AUSTIN-COOPER
57	AUSTIN COOPER	83	AUSTIN-COOPER
48	Austin-Healey	315	AUSTIN-HEALEY
258	AUSTIN-HEALEY	315	AUSTIN-HEALEY
9	AUSTIN HEALEY	315	AUSTIN-HEALEY
6	Austin-Mini	6	AUSTIN-MINI
5	Austin Rover	17	AUSTIN ROVER
12	AUSTIN ROVER	17	AUSTIN ROVER
30	Autobianchi	30	AUTOBIANCHI
4	Autocaravans Rimor	253	AUTOCARAVANS RIMOR
13	AUTOCARAVANS RIMOR	253	AUTOCARAVANS RIMOR
232	Autocaravans Rimor S.p.A	253	AUTOCARAVANS RIMOR
4	AUTOCARAVANS RIMOR S.p.A	253	AUTOCARAVANS RIMOR
6	AUTO-CUBY	6	AUTO-CUBY
225	Auto-Union	225	AUTO-UNION
4	AUWAERTER	4	AUWAERTER
192	AWE	192	AWE
1	AWZ	1	AWZ
6	AWZ/ZWICKAU	6	AWZ-ZWICKAU
6	BACI	6	BACI
6	BARKAS-VEB	6	BARKAS-VEB
20	Bedford	20	BEDFORD
6	BEDFORD-HYMER	6	BEDFORD-HYMER
517	Bentley	517	BENTLEY
6	Berkeley	6	BERKELEY
3	Bertone	3	BERTONE
6	BEZ MARKI KLAN	6	BEZ MARKI KLAN
63	Binz	99	BINZ
36	BINZ	99	BINZ
6	BL CARS (GB)	6	BL CARS
12	BLMC	12	BLMC
3	BAYER.MOT.WERKE-BMW	587067	BMW
587064	BMW	587067	BMW
