nimi	koodi	paavo.vuosi.offset	aggr	weight	ratio.base
Postinumerolalueen nimi	nimi				
Postinumeroalue	pono				
Paavo-datan vuosi 	vuosi				
Postinumeroalueen pinta-ala	pinta_ala		sum		
X-koordinaatti	euref_x		min		
Y-koordinaatti	euref_y		min		
Kuntanumero	kuntano		min		
Asukkaat yhteensä HE	he_vakiy	-2	sum		
Naiset HE	he_naiset	-2	sum		he_vakiy
Miehet HE	he_miehet	-2	sum		he_vakiy
Asukkaiden keski-ikä HE	he_kika	-2	mean	he_vakiy	
0-2-vuotiaat HE	he_0_2	-2	sum		he_vakiy
3-6-vuotiaat HE	he_3_6	-2	sum		he_vakiy
7-12-vuotiaat HE	he_7_12	-2	sum		he_vakiy
13-15-vuotiaat HE	he_13_15	-2	sum		he_vakiy
16-17-vuotiaat HE	he_16_17	-2	sum		he_vakiy
18-19-vuotiaat HE	he_18_19	-2	sum		he_vakiy
20-24-vuotiaat HE	he_20_24	-2	sum		he_vakiy
25-29-vuotiaat HE	he_25_29	-2	sum		he_vakiy
30-34-vuotiaat HE	he_30_34	-2	sum		he_vakiy
35-39-vuotiaat HE	he_35_39	-2	sum		he_vakiy
40-44-vuotiaat HE	he_40_44	-2	sum		he_vakiy
45-49-vuotiaat HE	he_45_49	-2	sum		he_vakiy
50-54-vuotiaat HE	he_50_54	-2	sum		he_vakiy
55-59-vuotiaat HE	he_55_59	-2	sum		he_vakiy
60-64-vuotiaat HE	he_60_64	-2	sum		he_vakiy
65-69-vuotiaat HE	he_65_69	-2	sum		he_vakiy
70-74-vuotiaat HE	he_70_74	-2	sum		he_vakiy
75-79-vuotiaat HE	he_75_79	-2	sum		he_vakiy
80-84-vuotiaat HE	he_80_84	-2	sum		he_vakiy
85 vuotta täyttäneet HE	he_85_	-2	sum		he_vakiy
18 vuotta täyttäneet yhteensä KO	ko_ika18y	-3	sum		
Perusasteen suorittaneet KO	ko_perus	-3	sum		ko_ika18y
Koulutetut yhteensä KO	ko_koul	-3	sum		ko_ika18y
Ylioppilastutkinnon suorittaneet KO	ko_yliop	-3	sum		ko_ika18y
Ammatillisen tutkinnon suorittaneet KO	ko_ammat	-3	sum		ko_ika18y
Alemman korkeakoulututkinnon suorittaneet KO	ko_al_kork	-3	sum		ko_ika18y
Ylemmän korkeakoulututkinnon suorittaneet KO	ko_yl_kork	-3	sum		ko_ika18y
18 vuotta täyttäneet yhteensä HR	hr_tuy	-3	sum		
Asukkaiden keskitulot HR	hr_ktu	-3	mean	hr_tuy	
Asukkaiden mediaanitulot HR	hr_mtu	-3	mean	hr_tuy	
Alimpaan tuloluokkaan kuuluvat asukkaat HR	hr_pi_tul	-3	sum		hr_tuy
Keskimmäiseen tuloluokkaan kuuluvat asukkaat HR	hr_ke_tul	-3	sum		hr_tuy
Ylimpään tuloluokkaan kuuluvat asukkaat HR	hr_hy_tul	-3	sum		hr_tuy
Asukkaiden ostovoimakertymä HR	hr_ovy	-3	sum		
Taloudet yhteensä TE	te_taly	-2	sum		
Talouksien keskikoko TE	te_takk	-2	mean	te_taly	
Asumisväljyys TE	te_as_valj	-2	mean	te_taly	
Nuorten yksinasuvien taloudet TE	te_nuor	-2	sum		te_taly
Lapsettomat nuorten parien taloudet TE	te_eil_np	-2	sum		te_taly
Lapsitaloudet TE	te_laps	-2	sum		te_taly
Pienten lasten taloudet TE	te_plap	-2	sum		te_taly
Alle kouluikäisten lasten taloudet TE	te_aklap	-2	sum		te_taly
Kouluikäisten lasten taloudet TE	te_klap	-2	sum		te_taly
Teini-ikäisten lasten taloudet TE	te_teini	-2	sum		te_taly
Aikuisten taloudet TE	te_aik	-2	sum		te_taly
Eläkeläisten taloudet TE	te_elak	-2	sum		te_taly
Omistusasunnoissa asuvat taloudet TE	te_omis_as	-2	sum		te_taly
Vuokra-asunnoissa asuvat taloudet TE	te_vuok_as	-2	sum		te_taly
Muissa asunnoissa asuvat taloudet TE	te_muu_as	-2	sum		te_taly
Taloudet yhteensä TR	tr_kuty	-3	sum		
Talouksien keskitulot TR	tr_ktu	-3	mean	tr_kuty	
Talouksien mediaanitulot TR	tr_mtu	-3	mean	tr_kuty	
Alimpaan tuloluokkaan kuuluvat taloudet TR	tr_pi_tul	-3	sum		tr_kuty
Keskimmäiseen tuloluokkaan kuuluvat taloudet TR	tr_ke_tul	-3	sum		tr_kuty
Ylimpään tuloluokkaan kuuluvat taloudet TR	tr_hy_tul	-3	sum		tr_kuty
Talouksien ostovoimakertymä TR	tr_ovy	-3	sum		
Kesämökit yhteensä RA	ra_ke	-2	sum		ra_raky
Rakennukset yhteensä RA	ra_raky	-2	sum		
Muut rakennukset yhteensä RA	ra_muut	-2	sum		ra_raky
Asuinrakennukset yhteensä RA	ra_asrak	-2	sum		ra_raky
Asunnot RA	ra_asunn	-2	sum		
Asuntojen keskipinta-ala RA	ra_as_kpa	-2	mean	ra_asunn	
Pientaloasunnot RA	ra_pt_as	-2	sum		ra_asunn
Kerrostaloasunnot RA	ra_kt_as	-2	sum		ra_asunn
Työpaikat yhteensä TP	tp_tyopy	-3	sum		
Alkutuotannon työpaikat TP	tp_alku_a	-3	sum		tp_tyopy
Jalostuksen työpaikat TP	tp_jalo_bf	-3	sum		tp_tyopy
Palveluiden työpaikat TP	tp_palv_gu	-3	sum		tp_tyopy
A Maatalous metsätalous ja kalatalous TP	tp_a_maat	-3	sum		tp_tyopy
B Kaivostoiminta ja louhinta TP	tp_b_kaiv	-3	sum		tp_tyopy
C Teollisuus TP	tp_c_teol	-3	sum		tp_tyopy
D Sähkö- kaasu- ja lämpöhuolto jäähdytysliiketoiminta TP	tp_d_ener	-3	sum		tp_tyopy
E Vesihuolto viemäri- ja jätevesihuolto ja muu ympäristön puhtaanapito TP	tp_e_vesi	-3	sum		tp_tyopy
F Rakentaminen TP	tp_f_rake	-3	sum		tp_tyopy
G Tukku- ja vähittäiskauppa moottoriajoneuvojen ja moottoripyörien korjaus TP	tp_g_kaup	-3	sum		tp_tyopy
H Kuljetus ja varastointi TP	tp_h_kulj	-3	sum		tp_tyopy
I Majoitus- ja ravitsemistoiminta TP	tp_i_majo	-3	sum		tp_tyopy
J Informaatio ja viestintä TP	tp_j_info	-3	sum		tp_tyopy
K Rahoitus- ja vakuutustoiminta TP	tp_k_raho	-3	sum		tp_tyopy
L Kiinteistöalan toiminta TP	tp_l_kiin	-3	sum		tp_tyopy
M Ammatillinen tieteellinen ja tekninen toiminta TP	tp_m_erik	-3	sum		tp_tyopy
N Hallinto- ja tukipalvelutoiminta TP	tp_n_hall	-3	sum		tp_tyopy
O Julkinen hallinto ja maanpuolustus pakollinen sosiaalivakuutus TP	tp_o_julk	-3	sum		tp_tyopy
P Koulutus TP	tp_p_koul	-3	sum		tp_tyopy
Q Terveys- ja sosiaalipalvelut TP	tp_q_terv	-3	sum		tp_tyopy
R Taiteet viihde ja virkistys TP	tp_r_taid	-3	sum		tp_tyopy
S Muu palvelutoiminta TP	tp_s_muup	-3	sum		tp_tyopy
T Kotitalouksien toiminta työnantajina kotitalouksien eriyttämätön toiminta tavaroiden ja palveluiden tuottamiseksi omaan käyttöön TP	tp_t_koti	-3	sum		tp_tyopy
U Kansainvälisten organisaatioiden ja toimielinten toiminta TP	tp_u_kans	-3	sum		tp_tyopy
X Toimiala tuntematon TP	tp_x_tunt	-3	sum		tp_tyopy
Asukkaat yhteensä PT	pt_vakiy	-3	sum		
Työvoima PT	pt_tyovy	-3	sum		pt_vakiy
Työlliset PT	pt_tyoll	-3	sum		pt_vakiy
Työttömät PT	pt_tyott	-3	sum		pt_vakiy
Työvoiman ulkopuolella olevat PT	pt_tyovu	-3	sum		pt_vakiy
Lapset 0-14 -vuotiaat PT	pt_0_14	-3	sum		pt_vakiy
